description,instructional,principal
"Nurse, Advance Registred Prac",FALSE,
"Mgr, Program",FALSE,
"Analyst 1, Personnel",FALSE,
"Secretary, Administrative",FALSE,
Accountant 1,FALSE,
"Asst Unit Mgr, Comm and Elec",FALSE,
"Lieut, Security & Emergcy Mgt",FALSE,
"Spec 2, Video Surv Accss Cntrl",FALSE,
"Nurse, Staff",FALSE,
Medical Assistant,FALSE,
A/C Refrig and Heat Techgy,FALSE,
"Investigator, Sr Prof Std",FALSE,
History,TRUE,
Astronomy,TRUE,
"Res Tchr, Site, Behvr Spec",FALSE,
In-School Suspension,FALSE,
"Res Tchr, Site, Migrant",FALSE,
Pre-Kindergarten,TRUE,
"Officer, Supplier Diversity",FALSE,
"Technical Coord, Training",FALSE,
"Nurse 2, Occup Health",FALSE,
"Trds Wker 10, Multi",FALSE,
"Mechanic 3, Ref, AC",FALSE,
"Tech 3, Electronics",FALSE,
"Supv, Routing and Planning",FALSE,
"Foreman, Fleet Shop",FALSE,
"Operator, Senior Computer",FALSE,
"Secretary, Executive, Sr 2",FALSE,
"Spec, Property",FALSE,
Audiologist,FALSE,
"Supv, Warehouse and Purchasing",FALSE,
"Mechanic 2, Equipment",FALSE,
"Trds Wker 9, Multi",FALSE,
Voc Tchr Asst,FALSE,
Amer Sign Language,FALSE,
Grade 6 Social Studies,TRUE,
"Technical Coord, Culinary",FALSE,
"Union Vice President, Support",FALSE,
Carpentry,TRUE,
"Represent, Sr Customer Service",FALSE,
Mgr 1,FALSE,
"Spec, Payroll",FALSE,
"Accountant, Property Control",FALSE,
Auto Collision Repair,TRUE,
"Supv, Electr Tech",FALSE,
"Mgr 5, SNS",FALSE,
"Operator 2, Water Plant",FALSE,
"Spec, Routing and Planning, Sr",FALSE,
"Programmer, Senior Computer",FALSE,
Physical Therapy Asst Lic,FALSE,
"Asst, Speech Language",FALSE,
"Supv, Computer Operation Shft",FALSE,
"Tech 2, Electronics",FALSE,
"Mechanic 2, Ref, AC",FALSE,
"Trds Wker 8, Multi",FALSE,
"Secretary, Executive",FALSE,
"Representative, Dept",FALSE,
"Spec 2, Leave",FALSE,
"Analyst, Routing and Planning",FALSE,
"Mgr, Program, Product",FALSE,
"Spec 2, Contracted Services",FALSE,
"Officer 2, Security",FALSE,
"Spec, Repair Parts",FALSE,
"Mentor, Energy Conservation",FALSE,
Dance,TRUE,
Journalism,TRUE,
Commercial Art Techgy,TRUE,
Critical Thinking,TRUE,
Portuguese,TRUE,
Computer Ed,TRUE,
Latin,TRUE,
Academy Of Journalism,TRUE,
Heavy Duty Truck And Bus Mech,FALSE,
"Mgr 3, SNS",FALSE,
"Spec 2, Auto Body Rep",FALSE,
"Trds Wker 7, Multi",FALSE,
Carpenter 2,FALSE,
"Spec 2, Accounts Payable",FALSE,
Clerk 4,FALSE,
"Clerk 3,  Accounting",FALSE,
"Programmer, Computer",FALSE,
"Mechanic 3, Equipment",FALSE,
"Mgr 4, SNS",FALSE,
"Represent 2, Call Ctr Suprt",FALSE,
"Spec 1, Budget",FALSE,
"Secretary, Superintendent",FALSE,
"Tech, HVAC Control",FALSE,
"Tech 2, Transportation Elect",FALSE,
"Spec, Off Netwk Computer",FALSE,
"Mechanic 1, Equipment",FALSE,
Service Writer,FALSE,
"Spec 2, Lawn Equip",FALSE,
"Officer 1, Security",FALSE,
"Inspector, Field Compliance",FALSE,
"Represent 2, Client Services",FALSE,
Graphics Designer,FALSE,
Psychology,TRUE,
