district_name,school_name,district_number,school_number,number_of_students,ela_level1_num,ela_level2_num,ela_level3_num,ela_level4_num,ela_level5_num,ela_level1,ela_level2,ela_level3,ela_level4,ela_level5
BREVARD,DISCOVERY ELEMENTARY SCHOOL,05,2151,344,92,84,80,62,25,0.26744186046511625,0.2441860465116279,0.23255813953488372,0.18023255813953487,0.07267441860465117
BREVARD,DR. W.J. CREEL ELEMENTARY SCHL,05,6141,320,113,78,58,49,21,0.353125,0.24375,0.18125,0.153125,0.065625
BREVARD,EAU GALLIE HIGH SCHOOL,05,3011,723,250,160,148,108,61,0.3457814661134163,0.22130013831258644,0.20470262793914246,0.14937759336099585,0.08437067773167359
BREVARD,EDGEWOOD JR/SR HIGH SCHOOL,05,4021,673,12,45,119,233,262,0.017830609212481426,0.06686478454680535,0.17682020802377416,0.3462109955423477,0.38930163447251115
BREVARD,EDUCATIONAL HORIZONS CHARTER,05,6511,55,1,8,14,15,8,0.01818181818181818,0.14545454545454545,0.2545454545454545,0.2727272727272727,0.14545454545454545
BREVARD,EMMA JEWEL CHARTER ACADEMY,05,6523,198,71,61,43,17,6,0.35858585858585856,0.30808080808080807,0.21717171717171718,0.08585858585858586,0.030303030303030304
BREVARD,ENDEAVOUR ELEMENTARY SCHOOL,05,1051,350,195,79,40,27,8,0.5571428571428572,0.2257142857142857,0.11428571428571428,0.07714285714285714,0.022857142857142857
BREVARD,ENTERPRISE ELEMENTARY SCHOOL,05,0301,321,35,72,93,88,31,0.10903426791277258,0.22429906542056074,0.2897196261682243,0.27414330218068533,0.09657320872274143
BREVARD,FAIRGLEN ELEMENTARY SCHOOL,05,1091,308,127,81,59,31,11,0.41233766233766234,0.262987012987013,0.19155844155844157,0.10064935064935066,0.03571428571428571
BREVARD,FREEDOM 7 ELEMENTARY SCHOOL INTERNATIONAL,05,5021,247,5,12,51,87,91,0.020242914979757085,0.048582995951417005,0.20647773279352227,0.3522267206477733,0.3684210526315789
BREVARD,GARDENDALE SEPARATE DAY SCHOOL,05,0089,33,9,2,0,0,0,0.2727272727272727,0.06060606060606061,0,0,0
BREVARD,GEMINI ELEMENTARY SCHOOL,05,6101,274,11,42,80,81,61,0.040145985401459854,0.15328467153284672,0.291970802919708,0.2956204379562044,0.22262773722627738
BREVARD,GOLFVIEW ELEMENTARY MAGNET SCHOOL,05,1071,223,83,53,50,23,13,0.3721973094170404,0.23766816143497757,0.2242152466367713,0.1031390134529148,0.05829596412556054
BREVARD,HANS CHRISTIAN ANDERSEN ELEMENTARY SCHOOL,05,1141,355,96,78,92,64,26,0.2704225352112676,0.21971830985915494,0.2591549295774648,0.18028169014084508,0.07323943661971831
BREVARD,HARBOR CITY ELEMENTARY SCHOOL,05,3061,187,50,35,50,30,22,0.26737967914438504,0.18716577540106952,0.26737967914438504,0.16042780748663102,0.11764705882352941
BREVARD,HERBERT C. HOOVER MIDDLE SCHOOL,05,6082,488,78,100,120,109,79,0.1598360655737705,0.20491803278688525,0.2459016393442623,0.22336065573770492,0.16188524590163936
BREVARD,HERITAGE HIGH SCHOOL,05,2311,945,274,223,208,169,71,0.28994708994708995,0.23597883597883598,0.2201058201058201,0.17883597883597885,0.07513227513227513
BREVARD,IMAGINE SCHOOLS AT WEST MELBOURNE,05,6515,280,54,71,86,58,13,0.19285714285714287,0.25357142857142856,0.30714285714285716,0.20714285714285716,0.04642857142857143
BREVARD,IMPERIAL ESTATES ELEM. SCHOOL,05,0151,344,96,81,73,65,29,0.27906976744186046,0.23546511627906977,0.21220930232558138,0.18895348837209303,0.08430232558139535
BREVARD,INDIALANTIC ELEMENTARY SCHOOL,05,6081,392,29,46,115,113,88,0.07397959183673469,0.11734693877551021,0.29336734693877553,0.288265306122449,0.22448979591836735
BREVARD,JAMES MADISON MIDDLE SCHOOL,05,0052,398,141,110,80,39,26,0.3542713567839196,0.27638190954773867,0.20100502512562815,0.09798994974874371,0.06532663316582915
BREVARD,JOHN F. KENNEDY MIDDLE SCHOOL,05,1101,636,125,131,163,129,92,0.19654088050314467,0.2059748427672956,0.2562893081761006,0.2028301886792453,0.14465408805031446
BREVARD,"JOHN F. TURNER, SENIOR ELEMENTARY SCHOOL",05,2121,280,93,70,62,46,8,0.33214285714285713,0.25,0.22142857142857142,0.16428571428571428,0.02857142857142857
BREVARD,JUPITER ELEMENTARY SCHOOL,05,2191,385,105,106,82,67,23,0.2727272727272727,0.2753246753246753,0.21298701298701297,0.17402597402597403,0.05974025974025974
BREVARD,LEWIS CARROLL ELEMENTARY SCHL,05,4121,375,50,68,99,96,61,0.13333333333333333,0.18133333333333335,0.264,0.256,0.16266666666666665
BREVARD,LOCKMAR ELEMENTARY SCHOOL,05,2111,333,62,82,82,75,30,0.18618618618618618,0.24624624624624625,0.24624624624624625,0.22522522522522523,0.09009009009009009
BREVARD,LONGLEAF ELEMENTARY SCHOOL,05,3131,343,39,49,84,116,57,0.11370262390670553,0.14285714285714285,0.24489795918367346,0.33819241982507287,0.1661807580174927
BREVARD,LYNDON B. JOHNSON MIDDLE SCHL,05,3031,566,161,128,127,91,62,0.284452296819788,0.22614840989399293,0.22438162544169613,0.1607773851590106,0.10954063604240283
BREVARD,MANATEE ELEMENTARY SCHOOL,05,1161,527,37,66,104,175,146,0.07020872865275142,0.1252371916508539,0.19734345351043645,0.33206831119544594,0.27703984819734345
BREVARD,MEADOWLANE INTERMEDIATE ELEMENTARY SCHOOL,05,2031,818,170,185,197,176,92,0.2078239608801956,0.22616136919315402,0.24083129584352078,0.21515892420537897,0.11246943765281174
BREVARD,MELBOURNE SENIOR HIGH SCHOOL,05,2011,1078,199,205,216,264,183,0.18460111317254174,0.1901669758812616,0.20037105751391465,0.24489795918367346,0.16975881261595546
BREVARD,MERRITT ISLAND HIGH SCHOOL,05,4011,714,142,143,172,163,93,0.19887955182072828,0.20028011204481794,0.24089635854341737,0.22829131652661064,0.13025210084033614
BREVARD,MILA ELEMENTARY SCHOOL,05,4031,230,81,60,54,27,8,0.3521739130434783,0.2608695652173913,0.23478260869565218,0.11739130434782609,0.034782608695652174
BREVARD,MIMS ELEMENTARY SCHOOL,05,0101,202,66,57,48,22,10,0.32673267326732675,0.28217821782178215,0.2376237623762376,0.10891089108910891,0.04950495049504951
BREVARD,NORTH/CENTRAL AREA ALTERNATIVE LEARNING,05,1017,156,107,16,14,5,3,0.6858974358974359,0.10256410256410256,0.08974358974358974,0.03205128205128205,0.019230769230769232
BREVARD,OAK PARK ELEMENTARY SCHOOL,05,0051,232,92,48,45,34,14,0.39655172413793105,0.20689655172413793,0.1939655172413793,0.14655172413793102,0.0603448275862069
BREVARD,OCEAN BREEZE ELEMENTARY SCHOOL,05,6071,316,30,48,84,91,65,0.0949367088607595,0.1518987341772152,0.26582278481012656,0.2879746835443038,0.20569620253164558
BREVARD,ODYSSEY CHARTER SCHOOL,05,6507,1293,254,248,312,317,159,0.19644238205723125,0.19180201082753287,0.24129930394431554,0.2451662799690642,0.12296983758700696
BREVARD,ODYSSEY PREPARATORY CHARTER ACADEMY,05,6541,239,38,65,63,52,20,0.1589958158995816,0.2719665271966527,0.26359832635983266,0.2175732217573222,0.08368200836820083
BREVARD,PALM BAY ACADEMY CHARTER SCHOOL,05,6501,194,79,49,37,28,2,0.4072164948453608,0.25257731958762886,0.19072164948453607,0.14432989690721648,0.010309278350515464
BREVARD,PALM BAY ELEMENTARY SCHOOL,05,2081,260,86,68,62,36,8,0.33076923076923076,0.26153846153846155,0.23846153846153847,0.13846153846153847,0.03076923076923077
BREVARD,PALM BAY MAGNET SENIOR HIGH SCHOOL,05,2021,686,259,155,127,110,34,0.37755102040816324,0.2259475218658892,0.18513119533527697,0.16034985422740525,0.04956268221574344
BREVARD,PINEAPPLE COVE CLASSICAL ACADEMY,05,6543,721,97,158,213,173,80,0.13453536754507628,0.21914008321775313,0.29542302357836336,0.23994452149791956,0.11095700416088766
BREVARD,PINEAPPLE COVE CLASSICAL ACADEMY AT LOCKMAR,05,6529,302,49,69,88,72,24,0.16225165562913907,0.22847682119205298,0.2913907284768212,0.23841059602649006,0.07947019867549669
