File Name,REC. TIME,EVENT#,CALL TYPE,LOCATION,Pd Zone:,Pd Grid:,Validation Link
10402 N 56th.pdf,erated on,06/08/23 at 10:06,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=32&page=0
10402 N 56th.pdf,11:12 07:19,2022039335 2022039429,S14-Information STER-Traffic Enforce,10402 N 56th St. 10402 N 56th St.,ន Z2 ន Z2,221 221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=33&page=1
10402 N 56th.pdf,13:17,2022039468,S68-Police Service C,10402 N 56th St.,ន Z2,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=34&page=1
10402 N 56th.pdf,14:59,2022039479,STER-Traffic Enforce,10402 N 56th St.,ន,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=35&page=1
10402 N 56th.pdf,07:22,2022039977,STER-Traffic Enforce,10402 N 56th St.,ន,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=36&page=1
10402 N 56th.pdf,08:48,2022039990,S68-Police Service C,10402 N 56th St.,ន,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=37&page=1
10402 N 56th.pdf,07:26,2022040165,STER-Traffic Enforce,10402 N 56th St.,ន,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=38&page=1
10402 N 56th.pdf,07:53,2022040167,$22-Disturbance,10402 N 56th St.,ន Z2,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=39&page=1
10402 N 56th.pdf,18:35,2022040537,S68-Police Service C,10402 N 56th St.,ន,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=40&page=1
10402 N 56th.pdf,10:08,2022040976,S68-Police Service C,10402 N 56th St.,ន,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=41&page=1
10402 N 56th.pdf,08:09,2022041254,SSD-Safe School Dril,10402 N 56th St.,ន,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=42&page=1
10402 N 56th.pdf,07:20,2022041372,STER-Traffic Enforce,10402 N 56th St.,,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=43&page=1
10402 N 56th.pdf,02:44,2022042035,DP-Directed Patrol,10402 N 56th St.,,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=44&page=1
10402 N 56th.pdf,09:12,2022042096,DP-Directed Patrol,10402 N 56th St.,Z2,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=45&page=1
10402 N 56th.pdf,08:22,2022042842,1006-Busy,10402 N 56th St.,Z2,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=46&page=1
10402 N 56th.pdf,07:42,2022042975,STER-Traffic Enforce,10402 N 56th St.,Z2,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=47&page=1
10402 N 56th.pdf,10:03,2022042992,FP-Foot Patrol,10402 N 56th St.,Z2,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=48&page=1
10402 N 56th.pdf,07:34,2022043116,STER-Traffic Enforce,10402 N 56th St.,,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=49&page=1
10402 N 56th.pdf,00:44,2022043243,DP-Directed Patrol,10402 N 56th St.,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=50&page=1
10402 N 56th.pdf,03:35,2022043263,DP-Directed Patrol,10402 N 56th St.,,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=51&page=1
10402 N 56th.pdf,10:36,2022043310,FP-Foot Patrol,10402 N 56th St.,Z2,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=52&page=1
10402 N 56th.pdf,16:17,2022043354,S08J-Missing Juvenil,10402 N 56th St.,Z2,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=53&page=1
10402 N 56th.pdf,00:06,2022043398,K9-T-K9-Training,10402 N 56th St.,Z2,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=54&page=1
