File Name,REC. TIME,EVENT#,CALL TYPE,LOCATION,& Pd Zone:,Pd Grid:,Validation Link
405 S Riverhills.pdf,01:20,2023020952,STER-Traffic Enforce,405 S Riverhills Dr.,ន Z3,312,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=8976419aa884fb06_db477e65b9a17d34&schid=8013&row=46&page=2
405 S Riverhills.pdf,01:35,2023020957,STER-Traffic Enforce,405 S Riverhills Dr.,ន Z3,312,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=8976419aa884fb06_db477e65b9a17d34&schid=8013&row=47&page=2
405 S Riverhills.pdf,19:01,2023021303,STER-Traffic Enforce,405 S Riverhills Dr.,ន,312,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=8976419aa884fb06_db477e65b9a17d34&schid=8013&row=48&page=2
405 S Riverhills.pdf,21:58,2023021539,STER-Traffic Enforce,405 S Riverhills Dr.,ន,312,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=8976419aa884fb06_db477e65b9a17d34&schid=8013&row=49&page=2
405 S Riverhills.pdf,18:54,2023022040,STER-Traffic Enforce,405 S Riverhills Dr.,ន Z3,312,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=8976419aa884fb06_db477e65b9a17d34&schid=8013&row=50&page=2
405 S Riverhills.pdf,19:48,2023022050,STER-Traffic Enforce,405 S Riverhills Dr.,ន Z3,312,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=8976419aa884fb06_db477e65b9a17d34&schid=8013&row=51&page=2
405 S Riverhills.pdf,20:09,2023022055,STER-Traffic Enforce,405 S Riverhills Dr.,ន Z3,312,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=8976419aa884fb06_db477e65b9a17d34&schid=8013&row=52&page=2
405 S Riverhills.pdf,13:25,2023022225,SSD-Safe School Dril,405 S Riverhills Dr.,ន Z3,312,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=8976419aa884fb06_db477e65b9a17d34&schid=8013&row=53&page=2
6700 Whiteway.pdf,10:53 10:57,2023002398 2023002971,S68-Police Service C T-Traffic Stop,6700 Whiteway Dr. 6700 Whiteway Dr.,Z2 Z2,217 217,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=c76a92a06a23c8d3_db477e65b9a17d34&schid=8013&row=0&page=2
6700 Whiteway.pdf,09:43,2023003709,S17-Attempt To Conta,6700 Whiteway Dr.,Z2,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=c76a92a06a23c8d3_db477e65b9a17d34&schid=8013&row=1&page=2
6700 Whiteway.pdf,08:06,2023004081,SSD-Safe School Dril,6700 Whiteway Dr.,Z2,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=c76a92a06a23c8d3_db477e65b9a17d34&schid=8013&row=2&page=2
6700 Whiteway.pdf,13:46,2023004402,STER-Traffic Enforce,6700 Whiteway Dr.,,217,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=c76a92a06a23c8d3_db477e65b9a17d34&schid=8013&row=3&page=2
